OBJECTID,YEAR_,FIRE_NAME,CAUSE,GIS_ACRES
21503,2020,COMANCHE,Unknown/Unidentified,66.11647797
21504,2020,SHEEP,Unknown/Unidentified,233.05610657
21505,2020,RESERVE,Unknown/Unidentified,11.50082016
21506,2020,JOHNSON,Unknown/Unidentified,37.95109177
21507,2020,SODA,Lightning,421.46990967
21508,2020,WOODY,Unknown/Unidentified,90.57169342
21509,2020,BLUE,Unknown/Unidentified,19.8991394
21510,2020,SHERWOOD,Unknown/Unidentified,41.18886948
21511,2020,VISTA,Unknown/Unidentified,34.71796036
21512,2020,GARCES,Unknown/Unidentified,10.84566975
21513,2020,LILAC,Unknown/Unidentified,52.84680939
21514,2020,WATER,Unknown/Unidentified,22.36359024
21515,2020,STAGECOACH,Unknown/Unidentified,7750.63720703
21516,2020,HUNTERS,Equipment Use,82.14009857
21517,2020,PASS,Power Line,2163.66210938
21518,2020,POWER,Power Line,151.54949951
21519,2020,BEN,Power Line,48.12535095
21520,2020,HENSLEY,Arson,398.48150635
21521,2020,FRANCISCAN,Equipment Use,15.77985001
21522,2020,BAR,Debris,57.78562927
21523,2020,LEOPARD,Arson,16.62899971
21524,2020,DRUM,Equipment Use,695.47058105
21525,2020,TWITCHELL,Lightning,28.68454933
21526,2020,BALLARD,Unknown/Unidentified,17.29714012
21527,2020,GAREY,Equipment Use,12.15279007
21528,2020,PLATINA,Miscellaneous,339.46661377
21529,2020,ROSA,Debris,10.7585001
21530,2020,SPRINGS,Playing with Fire,10.29981995
21531,2020,PINES,Miscellaneous,15.73703003
21532,2020,BRUDER,Unknown/Unidentified,169.54849243
21533,2020,HOLLISTER,Power Line,157.01780701
21534,2020,KIRSCHEMANN,Equipment Use,28.75139046
21535,2020,VIEW,Power Line,77.05924988
21536,2020,GATO,Unknown/Unidentified,10.23548985
21537,2020,LITO,Miscellaneous,25.82243919
21538,2020,DUTARD,Unknown/Unidentified,13.63339043
21539,2020,CLARK,Arson,18.82917976
21540,2020,HUASNA,Debris,47.42959976
21541,2020,SODA,Vehicle,1653.11499023
21542,2020,AVILA,Unknown/Unidentified,434.29098511
21543,2020,GAGE,Equipment Use,33.05524063
21544,2020,LAKE,Vehicle,567.00628662
21545,2020,SODA,Equipment Use,152.58659363
21546,2020,RIATA,Equipment Use,15.23254013
21547,2020,BERRY,Equipment Use,24.13384056
21548,2020,BRANCH,Vehicle,2922.20410156
21549,2020,II-2,Lightning,64.87589264
21550,2020,CARRIZO,Vehicle,184.91720581
21551,2020,TOPAZ,Equipment Use,157.11489868
21552,2020,POND,Arson,1962.32897949
21553,2020,HUTTON,Unknown/Unidentified,22.70940971
21554,2020,CRESTA BLANCA,Vehicle,18.42482948
21555,2020,JUAN,Power Line,33.28210068
21556,2020,PASS,Vehicle,323.17590332
21557,2020,III_2,Lightning,20.43498993
21558,2020,WHALE,Lightning,322.33660889
21559,2020,PLACER,Equipment Use,53.15896988
21560,2020,ZOGG,Unknown/Unidentified,56338.05078125
21561,2020,POINT,Miscellaneous,48.14772034
21562,2020,GRADE,Arson,1050.23999023
21563,2020,FORKS,Structure,117.23480225
21564,2020,SPRINGS,Vehicle,223.88690186
21565,2020,PITZER,Miscellaneous,118.78050232
21566,2020,MENTONE,Vehicle,47.27254105
21567,2020,INWOOD,Power Line,10.8198204
21568,2020,DERSCH,Arson,133.29949951
21569,2020,GRANT FIRE,Equipment Use,5062.19824219
21570,2020,CRONAN FIRE,Equipment Use,28.27120018
21571,2020,RIDGE,Vehicle,17.10544968
21572,2020,CLAY FIRE,Smoking,740.11181641
21573,2020,MEISS FIRE,Miscellaneous,509.14718628
21574,2020,DEN,Power Line,42.87516022
21575,2020,FRONTIER,Arson,21.70869064
21576,2020,GATOS,Equipment Use,31.9589901
21577,2020,HILLS,Miscellaneous,44.13896179
21578,2020,HILLS,Lightning,2120.97998047
21579,2020,KINGS,Equipment Use,65.9460907
21580,2020,MINERAL,Unknown/Unidentified,29666.9609375
21581,2020,SUTTER,Power Line,26.95898056
21582,2020,SYCAMORE,Arson,26.59246063
21583,2020,THERMAL,Power Line,11.42549992
21584,2020,TODD,Equipment Use,13.09677982
21585,2020,TAR,Lightning,20.48829079
21586,2020,MURPHY FIRE,Power Line,13.25111961
21587,2020,COPPER FIRE,Smoking,46.58346176
21588,2020,CAMERON FIRE,Vehicle,14.42601013
21589,2020,LIBERTY FIRE,Debris,88.69252014
21590,2020,LAMBERT FIRE,Miscellaneous,21.81627083
21591,2020,CROSS,Equipment Use,24.49596977
21592,2020,BROWN,Power Line,18.35330009
21593,2020,BOOMER,Unknown/Unidentified,10.92988968
21594,2020,BRADLEY,Equipment Use,230.35479736
21595,2020,CARMEL,Vehicle,6996.94189453
21596,2020,COPPERHEAD,Equipment Use,22.66811943
21597,2020,CIRCLE,Playing with Fire,32.20206833
21598,2020,COYOTE,Unknown/Unidentified,1485.07495117
21599,2020,FRUDDEN,Unknown/Unidentified,43.2114296
21600,2020,JOHNSON,Unknown/Unidentified,39.91976166
21601,2020,JULIUS,Power Line,21.76851082
21602,2020,METZ,Equipment Use,33.09180832
21603,2020,RICO,Power Line,11.01766968
21604,2020,RIVER,Lightning,50213.8203125
21605,2020,VISTA,Power Line,27.80219078
21606,2020,STAGE,Arson,51.1601181
21607,2020,BITTERWATER,Power Line,210.54370117
21608,2020,BITTER,Vehicle,895.4050293
21609,2020,HUNTER,Campfire,194.55799866
21610,2020,HOLSER,Unknown/Unidentified,2188.6340332
21611,2020,LIME,Unknown/Unidentified,802.55371094
21612,2020,ELIZABETH,Unknown/Unidentified,298.95968628
21613,2020,PERKIN,Unknown/Unidentified,39.82645035
21614,2020,MEDIO,Unknown/Unidentified,16.06100082
21615,2020,KUEHNER,Unknown/Unidentified,19.37548065
21616,2020,SCU COMPLEX,Lightning,396399.0
21617,2020,PARK,Equipment Use,343.0
21618,2020,CREWS,Playing with Fire,5513.0
21619,2020,VOLCANO,Miscellaneous,46.38000107
21620,2020,BORDER 7,Unknown/Unidentified,71.0
21621,2020,SKYLINE 3,Unknown/Unidentified,79.94999695
21622,2020,WILLOWS,Unknown/Unidentified,58.15000153
21623,2020,BORDER 11,Unknown/Unidentified,59.75999832
21624,2020,AIRPORT,Unknown/Unidentified,1085.69995117
21625,2020,APPLE,Unknown/Unidentified,33209.30859375
21626,2020,CASINO,Arson,91.57900238
21627,2020,INDIAN,Unknown/Unidentified,59.73152161
21628,2020,SANDERSON,Campfire,1954.65100098
21629,2020,SIERRA,Playing with Fire,39.02222061
21630,2020,SKYLINE,Unknown/Unidentified,47.93214035
21631,2020,TRIPP,Unknown/Unidentified,29.49214935
21632,2020,WATER,Unknown/Unidentified,36.02037811
21633,2020,EQUESTRIAN,Power Line,83.61876678
21634,2020,VISTA,Unknown/Unidentified,19.69775963
21635,2020,SOLEDAD,Miscellaneous,1525.53527832
21636,2020,RIDGE,Unknown/Unidentified,320.83929443
21637,2020,CASTAIC,Unknown/Unidentified,178.31158447
21638,2020,PEAK,Vehicle,26.62678146
21639,2020,WEST,Unknown/Unidentified,46.8375473
21640,2020,3 POINTS,Unknown/Unidentified,11.78608799
21641,2020,BOBCAT,Unknown/Unidentified,115997.9765625
21642,2020,ROCK,Unknown/Unidentified,93.8135376
21643,2020,JOHNSON,Vehicle,291.94924927
21644,2020,QUAIL,Debris,12.85847378
21645,2020,RAYBURN,Unknown/Unidentified,12.39057922
21646,2020,ACTON,Miscellaneous,13.84105587
21647,2020,SAN DIMAS,Arson,128.17086792
21648,2020,AIRLINE,Arson,62.40782928
21649,2020,HILL,Vehicle,139.1302948
21650,2020,BRIM,Miscellaneous,21.92457962
21651,2020,SITES,Unknown/Unidentified,569.51287842
21652,2020,POPE,Vehicle,61.80012131
21653,2020,LYONS,Vehicle,25.58510971
21654,2020,SALT,Vehicle,86.6633606
21655,2020,CATHOLIC,Vehicle,22.23489952
21656,2020,URSULINE,Equipment Use,11.89887047
21657,2020,SIERRA,Vehicle,17.39076996
21658,2020,STAGE,Power Line,26.56850052
21659,2020,INDIAN,Unknown/Unidentified,20.428049090000002
21660,2020,KIRKLAND,Power Line,21.01779938
21661,2020,PARISH,Unknown/Unidentified,57.63618851
21662,2020,CACHE,Campfire,44.79924011
21663,2020,MOUNTAIN,Power Line,28.20261955
21664,2020,MEYERS,Lightning,2360.24902344
21665,2020,WALLBRIDGE,Lightning,55208.890625
21666,2020,HENNESSEY,Lightning,305351.59375
21667,2020,GLASS,Unknown/Unidentified,67484.34375
21668,2020,QUAIL,Unknown/Unidentified,1840.99804688
21669,2020,LAKEVILLE,Equipment Use,162.63780212
21670,2020,DUNFIELD,Debris,21.91723061
21671,2020,SPANISH,Equipment Use,17.29932976
21672,2020,DEVILS GULCH,Lightning,16.94519806
21673,2020,INDIA,Miscellaneous,959.28210449
21674,2020,IRIS,Lightning,124.99820709
21675,2020,DALTON,Lightning,1367.07763672
21676,2020,ALLEN,Lightning,1034.79431152
21677,2020,BEACH,Lightning,3668.42700195
21678,2020,LOYALTON,Lightning,46720.8828125
21679,2020,SHEEP,Lightning,29541.12109375
21680,2020,DOLAN,Unknown/Unidentified,124527.3125
21681,2020,FOX,Campfire,2027.5526123
21682,2020,SHOTGUN,Lightning,840.85028076
21683,2020,NORTH COMPLEX,Lightning,318776.6875
21684,2020,CASTLE,Lightning,170647.84375
21685,2020,FORK,Unknown/Unidentified,1668.44934082
21686,2020,COLEMAN,Unknown/Unidentified,562.91351318
21687,2020,POINT,Unknown/Unidentified,93.22415924
21688,2020,CREEK,Unknown/Unidentified,379882.25
21690,2020,BALD,Lightning,17.9240799
21691,2020,BRIDGE,Lightning,14.58705521
21692,2020,IRON,Lightning,37.90356064
21693,2020,BULLFROG,Unknown/Unidentified,654.63952637
21694,2020,FLAT,Vehicle,62.0405426
21695,2020,DEVIL,Unknown/Unidentified,8871.93261719
21696,2020,DAVIS 3,Arson,11.43485546
21697,2020,SPRING,Lightning,228.83406067
21698,2020,PINE,Lightning,11.31371498
21699,2020,FEATHER,Equipment Use,39.70480728
21700,2020,MP 21,Unknown/Unidentified,93.04834747
21701,2020,ROCKWELL,Unknown/Unidentified,1438.9173584
21702,2020,GIBSON,Miscellaneous,41.67089844
21703,2020,HOBO,Power Line,413.52490234
21704,2020,HARRIS,Equipment Use,10.61656189
21705,2020,QUARTER,Unknown/Unidentified,11.58481407
21706,2020,ADAMS,Lightning,901.67236328
21707,2020,SLATER,Unknown/Unidentified,157429.765625
21708,2020,JONES POINT,Unknown/Unidentified,136.59272766
21709,2020,COPPER,Lightning,54.70821381
21710,2020,BIRD,Lightning,25.04809761
21711,2020,BROCK,Lightning,14.98821831
21712,2020,BASEBALL,Escaped Prescribed Burn,215.52542114
21713,2020,RIDGE,Vehicle,82.71296692
21714,2020,BELL,Lightning,44.90058136
21715,2020,BROOK,Miscellaneous,183.2127533
21716,2020,LAKE,Unknown/Unidentified,30999.38671875
21717,2020,RANCH2,Unknown/Unidentified,4119.203125
21718,2020,VALLEY,Unknown/Unidentified,16389.52929688
21719,2020,MARTINDALE,Unknown/Unidentified,233.34515381
21720,2020,MOUNT R,Equipment Use,61.77009964
21721,2020,ADOBE,Campfire,15.18357849
21722,2020,KENWOOD,Miscellaneous,10.37326622
21723,2020,EASTON,Arson,56.79850006
21724,2020,LAGO,Equipment Use,16.89003944
21725,2020,BULL,Vehicle,14.08968639
21727,2020,SOUTH MAIN,Escaped Prescribed Burn,13.00809288
21728,2020,PITMAN,Equipment Use,39.66624069
21729,2020,GIFFORD,Vehicle,16.80191231
21730,2020,HOG,Unknown/Unidentified,527.48773193
21731,2020,H - 8 WELL,Lightning,60.99063492
21732,2020,L-2 YELLOW,Lightning,14.9040451
21733,2020,DAM,Unknown/Unidentified,226.36575317
21734,2020,FLAT,Unknown/Unidentified,13.64788532
21735,2020,TRIMMER,Unknown/Unidentified,593.86456299
21736,2020,BAKER,Debris,47.61828613
21737,2020,TRAMWAY,Equipment Use,11.13794041
21738,2020,SNOW,Vehicle,6253.43701172
21739,2020,OAKS,Miscellaneous,16.56990814
21740,2020,PUMICE,Lightning,42.17404175
21741,2020,NAIL,Unknown/Unidentified,14.59023666
21742,2020,LITTLE SODA,Unknown/Unidentified,53.08939743
21743,2020,AUGUST COMPLEX FIRES,Lightning,1032699.0
21744,2020,STUMP,Unknown/Unidentified,325.41217041
21745,2020,HOG,Unknown/Unidentified,9566.35546875
21746,2020,ANTELOPE,Debris,101.76651001
21747,2020,FISH CREEK,Lightning,29.78269577
21748,2020,RED SALMON COMPLEX,Lightning,143836.328125
21749,2020,33,Equipment Use,33.6674614
21750,2020,ELSMERE,Unknown/Unidentified,159.20556641
21751,2020,MESA,Unknown/Unidentified,100.55500031
21752,2020,ROWHER,Arson,648.18084717
21753,2020,TEXAS,Equipment Use,209.95069885
21754,2020,MURPHY,Unknown/Unidentified,12.08647633
21755,2020,BLUEJAY,Lightning,6921.98730469
21756,2020,CALDWELL,Lightning,81224.3671875
21757,2020,DOME,Lightning,44211.0859375
21758,2020,HORSE,Lightning,30.19238091
21759,2020,IVANPAH,Playing with Fire,1051.48156738
21760,2020,MORAINE,Lightning,1316.03283691
21761,2020,NORTH WHIZZ DOME,Lightning,199.98155212
21762,2020,RATTLESNAKE,Lightning,8422.83691406
21763,2020,SCORPION,Equipment Use,1320.7232666
21764,2020,WOLF,Lightning,2057.28833008
21765,2020,WOODWARD,Lightning,4901.70751953
21766,2020,166,Unknown/Unidentified,120.7197876
21767,2020,AURORA,Lightning,238.28295898
21768,2020,BACCARAT,Unknown/Unidentified,10456.36328125
21769,2020,BARNES,Unknown/Unidentified,79.41711426
21770,2020,BASIC,Lightning,116.17731476
21771,2020,ELLIOT,Unknown/Unidentified,102.64131165
21772,2020,HILL,Lightning,63.22701645
21773,2020,HORN,Unknown/Unidentified,25.2015667
21774,2020,LAURA 2,Unknown/Unidentified,2729.01635742
21775,2020,MOUNTAIN VIEW,Unknown/Unidentified,20374.48828125
21776,2020,NADEAU,Unknown/Unidentified,9150.36816406
21777,2020,NORTH,Vehicle,6882.26708984
21778,2020,R-1 MAPES,Lightning,258.9571228
21779,2020,R-3 LITTLE FREDOYNER,Lightning,187.3430481
21780,2020,R-2 TRUMBULL,Lightning,576.65856934
21781,2020,R-3 SKEDDADLE,Lightning,197.50694275
21782,2020,R-5 SNOWSTORM,Lightning,471.72024536
21783,2020,R-5 DRY,Lightning,45.45532227
21784,2020,R-8 PINECODE,Lightning,566.49243164
21785,2020,RAILROAD,Lightning,131.87670898
21786,2020,SLINK,Unknown/Unidentified,26751.67773438
21787,2020,SMOKETREE,Playing with Fire,129.99386597
21789,2020,STANDING ROCK,Unknown/Unidentified,90.21173096
21790,2020,W-4 TERMO,Lightning,265.58285522
21791,2020,W-5 COLD SPRINGS,Lightning,84817.2734375
21792,2020,WOOD,Debris,54.35707474
21793,2020,BEND,Unknown/Unidentified,264.31039429
21794,2020,LULU,Unknown/Unidentified,11.38433838
21795,2020,ORANGE,Unknown/Unidentified,35.9790535
21796,2020,PARKER DAM,Miscellaneous,13.99215603
21797,2020,R-6 TUNNISON,Lightning,175.14735413
21798,2020,PINEY,Equipment Use,21.87052536
21799,2020,CIMA,Unknown/Unidentified,32.43548203
21800,2020,MYER,Equipment Use,12.89485168
21801,2020,STANDARD,Unknown/Unidentified,23.77984619
21802,2020,AHA MACAV,Miscellaneous,42.10367584
21803,2020,POWER,Unknown/Unidentified,17.04560089
21804,2020,CREEK 5,Unknown/Unidentified,3052.17236328
21805,2020,EL DORADO,Unknown/Unidentified,
21806,2020,BRUNO,Arson,6.78966522
21807,2020,LIVE OAK,Vehicle,1.66968942
21808,2020,WILLIAMS,Equipment Use,7.8091197
21809,2020,HIGHLAND,Unknown/Unidentified,1.15438843
21810,2020,WINDY RIDGE FIRE,Unknown/Unidentified,1.74275804
21811,2020,NICHOLS,Smoking,8.11941624
21812,2020,LAGUNA,Vehicle,7.16236162
21813,2020,GUYS,Debris,2.80249
21814,2020,ORR,Equipment Use,3.50306201
21815,2020,LIBERTY,Unknown/Unidentified,8.05559444
21816,2020,MARTIN,Power Line,2.3604331
21817,2020,SPRING,Debris,1.74933267
21818,2020,RED 3-1,Lightning,1.28821087
21819,2020,NOYES 1-14,Lightning,8.12013054
21820,2020,MOFFETT,Equipment Use,1.07046103
21821,2020,SIERRA,Unknown/Unidentified,1.13424432
21822,2020,CROSS,Unknown/Unidentified,6.08159637
21823,2020,EXTENSION INC,Unknown/Unidentified,3.24627829
21824,2020,CAMELOT,Unknown/Unidentified,9.61945438
21825,2020,Unnamed,Unknown/Unidentified,1.41028237
21826,2020,Unnamed,Unknown/Unidentified,1.80730283
21827,2020,OUTLET,Unknown/Unidentified,1.06687462
21828,2020,178,Unknown/Unidentified,7.22246456
21829,2020,TRAIL,Unknown/Unidentified,2.47689271
21830,2020,Unnamed,Unknown/Unidentified,9.18317604
21831,2020,WOFFORD,Unknown/Unidentified,5.78886127
21832,2020,SABODAN,Unknown/Unidentified,3.02440882
21833,2020,DONALD,Arson,1.37965965
21834,2020,MOCKINGBIRD,Arson,8.8859911
21835,2020,RANCHO,Power Line,1.53284478
21836,2020,HUASNA,Debris,1.82043886
21837,2020,BISHOP,Unknown/Unidentified,1.47037196
21838,2020,CAMATTA,Power Line,2.13903642
21839,2020,DAIRY,Equipment Use,2.58218026
21840,2020,FARM,Equipment Use,2.24103904
21841,2020,LINNE,Power Line,6.545331
21842,2020,JACK,Unknown/Unidentified,5.79798317
21843,2020,SHERRY,Equipment Use,1.0090965
21844,2020,CAMATTA,Equipment Use,7.91018057
21845,2020,VENICE,Equipment Use,3.35979056
21846,2020,MACK,Vehicle,1.20235419
21847,2020,WEBSTER,Playing with Fire,4.8722167
21848,2020,SHED,Vehicle,6.06673098
21849,2020,CREEK,Vehicle,2.01405597
21850,2020,MUSTARD,Power Line,1.80682766
21851,2020,RESERVOIR,Playing with Fire,8.03186321
21852,2020,PRICE,Vehicle,1.05754459
21853,2020,RANCHO,Debris,2.26817918
21854,2020,LAGO,Unknown/Unidentified,2.81483412
21855,2020,TORO,Power Line,2.01625443
21856,2020,CHOLAME,Unknown/Unidentified,3.23034263
21857,2020,TOPAZ,Power Line,6.89476776
21858,2020,GREEN,Vehicle,6.07705641
21859,2020,DAVIS,Vehicle,3.25628448
21860,2020,MEADOW,Playing with Fire,5.03376722
21861,2020,LUCY,Unknown/Unidentified,2.13835073
21862,2020,HILLS,Vehicle,1.17515695
21863,2020,SPRING,Vehicle,3.95843768
21864,2020,IV_1,Lightning,3.04927492
21865,2020,BRIDLE,Lightning,2.05773377
21866,2020,CORNELL,Equipment Use,1.81044602
21867,2020,ENERGY,Power Line,6.92687798
21868,2020,COUNTRY,Playing with Fire,1.0168997
21869,2020,DELTA,Miscellaneous,7.60073614
21870,2020,DAVIS,Power Line,1.11954188
21871,2020,SMARTSVILLE,Equipment Use,8.08974361
21872,2020,POND,Playing with Fire,7.08605146
21873,2020,ERBES,Unknown/Unidentified,26.54850769
21874,2020,LEWIS,Unknown/Unidentified,3.96736073
21875,2020,GOLD,Unknown/Unidentified,22652.55859375
21876,2020,GOODENOUGH,Unknown/Unidentified,8.41543388
21877,2020,COCHRAN,Unknown/Unidentified,8.3289957
21878,2020,TOPANGA,Power Line,2.614254
21879,2020,AIRPORT,Vehicle,3.00132632
21880,2020,MESA,Power Line,1.25053167
21881,2020,COLIMA,Unknown/Unidentified,6.24524069
21882,2020,HASLEY,Equipment Use,6.6710515
21883,2020,HILL,Unknown/Unidentified,3.48555779
21884,2020,210TH,Unknown/Unidentified,7.06764841
21885,2020,CALGROVE,Equipment Use,4.22807217
21886,2020,GROVE,Unknown/Unidentified,1.79894173
21887,2020,TOPANGA,Vehicle,6.73228073
21888,2020,PALM,Unknown/Unidentified,8.40678883
21889,2020,NO NAME,Vehicle,3.0133996
21890,2020,WAVE,Unknown/Unidentified,9.639710430000001
21891,2020,TUNA,Miscellaneous,1.23734093
21892,2020,CANYON,Power Line,7.26888037
21893,2020,BANNING,Power Line,1.52906549
21894,2020,DUNNIGAN,Power Line,6.12527609
21895,2020,MONTICELLO,Unknown/Unidentified,1.08643544
21896,2020,LAWLEY,Equipment Use,2.02360415
21897,2020,HUBCAP,Equipment Use,2.01777172
21898,2020,SPRING,Unknown/Unidentified,1.70342588
21899,2020,COUNTY ROAD 2,Unknown/Unidentified,1.24270499
21900,2020,MULE,Miscellaneous,7.35620403
21901,2020,CANAL,Unknown/Unidentified,4.07307673
21902,2020,MOBILE,Equipment Use,1.11940598
21903,2020,OAT,Vehicle,5.63831043
21904,2020,LUCERNE,Arson,4.12192965
21905,2020,GEORGE,Miscellaneous,1.34643221
21906,2020,EAGLE,Arson,1.48266256
21907,2020,HEATHER,Miscellaneous,1.91392899
21908,2020,17-7,Lightning,1.8423059
21909,2020,LYTTON,Arson,1.93122399
21910,2020,SPRING,Power Line,1.29040718
21911,2020,LAKE VIEW,Unknown/Unidentified,2.30815721
21912,2020,CREEK,Equipment Use,1.24752748
21913,2020,ARROW,Equipment Use,6.73083687
21914,2020,REDWOOD,Equipment Use,2.17881536
21915,2020,CHABLIS,Playing with Fire,1.33192956
21916,2020,BLUE LAKES,Miscellaneous,4.36604691
21917,2020,SALMON,Equipment Use,5.42920637
21918,2020,STONY,Unknown/Unidentified,6.58558655
21919,2020,DIGGER/QUAIL,Equipment Use,5.71311474
21920,2020,DUNNIGAN,Equipment Use,1.85123742
21921,2020,LAMB,Miscellaneous,1.7104708
21922,2020,ANNAPOLIS,Unknown/Unidentified,2.15953445
21923,2020,GAMBLE,Debris,1.07066774
21924,2020,FOX,Campfire,1.69686735
21925,2020,13-1,Lightning,1.20418966
21926,2020,MILL,Power Line,1.69951272
21927,2020,TAYLOR,Unknown/Unidentified,1.73140049
21928,2020,NEWELL,Arson,2.56038857
21929,2020,PLEASANTS,Power Line,8.7006712
21930,2020,CEMENT,Unknown/Unidentified,3.50961828
21931,2020,TWIN,Debris,1.04291761
21932,2020,PIERCE,Equipment Use,5.63605976
21933,2020,ISLAND,Campfire,1.43505096
21934,2020,PLASKETT,Debris,1.50094652
21935,2020,RALPH,Lightning,9.39038086
21936,2020,BLUE,Lightning,5.15127325
21937,2020,2-28 / BUTTE LIGHTNING COMPLEX,Lightning,21.37203026
21938,2020,1-11 / BUTTE LIGHTNING COMPLEX,Lightning,12.20917988
21939,2020,2-30 / BUTTE LIGHTNING COMPLEX,Lightning,6.25850296
21940,2020,2-26 / BUTTE LIGHTNING COMPLEX,Lightning,27.6417408
21941,2020,1-8 / BUTTE LIGHTNING COMPLEX,Lightning,92.39505005
21942,2020,1-7 / BUTTE LIGHTNING COMPLEX,Lightning,174.78900146
21943,2020,1-12 / BUTTE LIGHTNING COMPLEX,Lightning,946.58337402
21945,2007,OCTOBER,Unknown/Unidentified,25.73671341
21946,2007,MAGIC,Unknown/Unidentified,2824.87719727
21947,2007,RANCH,Equipment Use,58410.3359375
21948,2007,EMMA,Unknown/Unidentified,172.21495056
21949,2007,CORRAL,Unknown/Unidentified,4707.99707031
21950,2007,GORMAN,Unknown/Unidentified,2373.8449707
21951,2007,WEST,Unknown/Unidentified,245.23396301
21952,2007,PEARBLOSSOM,Unknown/Unidentified,81.03350067
21953,2007,SKYLINE,Unknown/Unidentified,95.41855621
21954,2007,SESNON,Unknown/Unidentified,30.3014183
21955,2007,SOLEDAD,Unknown/Unidentified,44.16777039
21956,2007,Y,Unknown/Unidentified,22.49172974
21957,2007,ANGEL 3,Campfire,832.12652588
21958,2007,BANNER,Unknown/Unidentified,95.15126038
21959,2007,CHAMBERS,Arson,54.69635773
21960,2007,BROWN,Equipment Use,18.73177338
21961,2007,DRIFTWOOD,Unknown/Unidentified,52.9729538
21962,2007,CAPPEL,Unknown/Unidentified,12.89414597
21963,2007,MOUNTAIN,Unknown/Unidentified,840.55828857
21964,2007,WHITE,Equipment Use,12432.16015625
21965,2007,WOFFORD,Miscellaneous,567.456604
21966,2007,PEARBLOSSOM,Unknown/Unidentified,77.80277252
21967,2007,ISLAND,Unknown/Unidentified,4722.96582031
21968,2007,CANYON,Unknown/Unidentified,743.47991943
21969,2007,FAIRMONT,Unknown/Unidentified,211.62194824
21970,2007,AUBERRY,Vehicle,150.93606567
21971,2007,GATOS,Lightning,83.05220032
21972,2007,CORONADO HILLS,Unknown/Unidentified,58.7947464
21973,2007,MEADOW RIDGE,Unknown/Unidentified,39.1084671
